Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.38382175491323806
100% Corpus,2,0.01,0.31,0.39147491128484735
100% Corpus,2,0.01,0.61,0.3777881103622999
100% Corpus,2,0.01,0.9099999999999999,0.3726045226383708
100% Corpus,2,0.01,symmetric,0.38526259605929825
100% Corpus,2,0.31,0.01,0.363417095363088
100% Corpus,2,0.31,0.31,0.38083098189611203
100% Corpus,2,0.31,0.61,0.38987656647712116
100% Corpus,2,0.31,0.9099999999999999,0.38892786916273214
100% Corpus,2,0.31,symmetric,0.36762830151565584
100% Corpus,2,0.61,0.01,0.3710796234167301
100% Corpus,2,0.61,0.31,0.3510950335118702
100% Corpus,2,0.61,0.61,0.35168103019881913
100% Corpus,2,0.61,0.9099999999999999,0.3481262826388215
100% Corpus,2,0.61,symmetric,0.36145524857057815
100% Corpus,2,0.9099999999999999,0.01,0.3513827490399858
100% Corpus,2,0.9099999999999999,0.31,0.3159899380376211
100% Corpus,2,0.9099999999999999,0.61,0.30338067725436046
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2940141137671006
100% Corpus,2,0.9099999999999999,symmetric,0.3403778732785212
100% Corpus,2,symmetric,0.01,0.38051879348110373
100% Corpus,2,symmetric,0.31,0.37848834748285454
100% Corpus,2,symmetric,0.61,0.3806958501220263
100% Corpus,2,symmetric,0.9099999999999999,0.3827184347171174
100% Corpus,2,symmetric,symmetric,0.3771543396513667
100% Corpus,2,asymmetric,0.01,0.3824540039242633
100% Corpus,2,asymmetric,0.31,0.37187599968593765
100% Corpus,2,asymmetric,0.61,0.37337197149254847
100% Corpus,2,asymmetric,0.9099999999999999,0.3825021501289821
100% Corpus,2,asymmetric,symmetric,0.3629353765036978
100% Corpus,3,0.01,0.01,0.38382175491323806
100% Corpus,3,0.01,0.31,0.39147491128484735
100% Corpus,3,0.01,0.61,0.3777881103622999
100% Corpus,3,0.01,0.9099999999999999,0.3726045226383708
100% Corpus,3,0.01,symmetric,0.38526259605929825
100% Corpus,3,0.31,0.01,0.363417095363088
100% Corpus,3,0.31,0.31,0.38083098189611203
100% Corpus,3,0.31,0.61,0.38987656647712116
100% Corpus,3,0.31,0.9099999999999999,0.38892786916273214
100% Corpus,3,0.31,symmetric,0.36762830151565584
100% Corpus,3,0.61,0.01,0.3710796234167301
100% Corpus,3,0.61,0.31,0.3510950335118702
100% Corpus,3,0.61,0.61,0.35168103019881913
100% Corpus,3,0.61,0.9099999999999999,0.3481262826388215
100% Corpus,3,0.61,symmetric,0.36145524857057815
100% Corpus,3,0.9099999999999999,0.01,0.3513827490399858
100% Corpus,3,0.9099999999999999,0.31,0.3159899380376211
100% Corpus,3,0.9099999999999999,0.61,0.30338067725436046
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.2940141137671006
100% Corpus,3,0.9099999999999999,symmetric,0.3403778732785212
100% Corpus,3,symmetric,0.01,0.38051879348110373
100% Corpus,3,symmetric,0.31,0.37848834748285454
100% Corpus,3,symmetric,0.61,0.3806958501220263
100% Corpus,3,symmetric,0.9099999999999999,0.3827184347171174
100% Corpus,3,symmetric,symmetric,0.3771543396513667
100% Corpus,3,asymmetric,0.01,0.3824540039242633
100% Corpus,3,asymmetric,0.31,0.37187599968593765
100% Corpus,3,asymmetric,0.61,0.37337197149254847
100% Corpus,3,asymmetric,0.9099999999999999,0.3825021501289821
100% Corpus,3,asymmetric,symmetric,0.3629353765036978
100% Corpus,4,0.01,0.01,0.38382175491323806
100% Corpus,4,0.01,0.31,0.39147491128484735
100% Corpus,4,0.01,0.61,0.3777881103622999
100% Corpus,4,0.01,0.9099999999999999,0.3726045226383708
100% Corpus,4,0.01,symmetric,0.38526259605929825
100% Corpus,4,0.31,0.01,0.363417095363088
100% Corpus,4,0.31,0.31,0.38083098189611203
100% Corpus,4,0.31,0.61,0.38987656647712116
100% Corpus,4,0.31,0.9099999999999999,0.38892786916273214
100% Corpus,4,0.31,symmetric,0.36762830151565584
100% Corpus,4,0.61,0.01,0.3710796234167301
100% Corpus,4,0.61,0.31,0.3510950335118702
100% Corpus,4,0.61,0.61,0.35168103019881913
100% Corpus,4,0.61,0.9099999999999999,0.3481262826388215
100% Corpus,4,0.61,symmetric,0.36145524857057815
100% Corpus,4,0.9099999999999999,0.01,0.3513827490399858
100% Corpus,4,0.9099999999999999,0.31,0.3159899380376211
100% Corpus,4,0.9099999999999999,0.61,0.30338067725436046
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2940141137671006
100% Corpus,4,0.9099999999999999,symmetric,0.3403778732785212
100% Corpus,4,symmetric,0.01,0.38051879348110373
100% Corpus,4,symmetric,0.31,0.37848834748285454
100% Corpus,4,symmetric,0.61,0.3806958501220263
100% Corpus,4,symmetric,0.9099999999999999,0.3827184347171174
100% Corpus,4,symmetric,symmetric,0.3771543396513667
100% Corpus,4,asymmetric,0.01,0.3824540039242633
100% Corpus,4,asymmetric,0.31,0.37187599968593765
100% Corpus,4,asymmetric,0.61,0.37337197149254847
100% Corpus,4,asymmetric,0.9099999999999999,0.3825021501289821
100% Corpus,4,asymmetric,symmetric,0.3629353765036978
