,Validation_Set,Topics,Alpha,Beta,Coherence
0,100% Corpus,2,0.01,0.01,0.38382175491323806
1,100% Corpus,2,0.01,0.31,0.39147491128484735
2,100% Corpus,2,0.01,0.61,0.3777881103622999
3,100% Corpus,2,0.01,0.9099999999999999,0.3726045226383708
4,100% Corpus,2,0.01,symmetric,0.38526259605929825
5,100% Corpus,2,0.31,0.01,0.363417095363088
6,100% Corpus,2,0.31,0.31,0.38083098189611203
7,100% Corpus,2,0.31,0.61,0.38987656647712116
8,100% Corpus,2,0.31,0.9099999999999999,0.38892786916273214
9,100% Corpus,2,0.31,symmetric,0.36762830151565584
10,100% Corpus,2,0.61,0.01,0.3710796234167301
11,100% Corpus,2,0.61,0.31,0.3510950335118702
12,100% Corpus,2,0.61,0.61,0.35168103019881913
13,100% Corpus,2,0.61,0.9099999999999999,0.3481262826388215
14,100% Corpus,2,0.61,symmetric,0.36145524857057815
15,100% Corpus,2,0.9099999999999999,0.01,0.3513827490399858
16,100% Corpus,2,0.9099999999999999,0.31,0.3159899380376211
17,100% Corpus,2,0.9099999999999999,0.61,0.30338067725436046
18,100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2940141137671006
19,100% Corpus,2,0.9099999999999999,symmetric,0.3403778732785212
20,100% Corpus,2,symmetric,0.01,0.38051879348110373
21,100% Corpus,2,symmetric,0.31,0.37848834748285454
22,100% Corpus,2,symmetric,0.61,0.3806958501220263
23,100% Corpus,2,symmetric,0.9099999999999999,0.3827184347171174
24,100% Corpus,2,symmetric,symmetric,0.3771543396513667
25,100% Corpus,2,asymmetric,0.01,0.3824540039242633
26,100% Corpus,2,asymmetric,0.31,0.37187599968593765
27,100% Corpus,2,asymmetric,0.61,0.37337197149254847
28,100% Corpus,2,asymmetric,0.9099999999999999,0.3825021501289821
29,100% Corpus,2,asymmetric,symmetric,0.3629353765036978
30,100% Corpus,3,0.01,0.01,0.38382175491323806
31,100% Corpus,3,0.01,0.31,0.39147491128484735
32,100% Corpus,3,0.01,0.61,0.3777881103622999
33,100% Corpus,3,0.01,0.9099999999999999,0.3726045226383708
34,100% Corpus,3,0.01,symmetric,0.38526259605929825
35,100% Corpus,3,0.31,0.01,0.363417095363088
36,100% Corpus,3,0.31,0.31,0.38083098189611203
37,100% Corpus,3,0.31,0.61,0.38987656647712116
38,100% Corpus,3,0.31,0.9099999999999999,0.38892786916273214
39,100% Corpus,3,0.31,symmetric,0.36762830151565584
40,100% Corpus,3,0.61,0.01,0.3710796234167301
41,100% Corpus,3,0.61,0.31,0.3510950335118702
42,100% Corpus,3,0.61,0.61,0.35168103019881913
43,100% Corpus,3,0.61,0.9099999999999999,0.3481262826388215
44,100% Corpus,3,0.61,symmetric,0.36145524857057815
45,100% Corpus,3,0.9099999999999999,0.01,0.3513827490399858
46,100% Corpus,3,0.9099999999999999,0.31,0.3159899380376211
47,100% Corpus,3,0.9099999999999999,0.61,0.30338067725436046
48,100% Corpus,3,0.9099999999999999,0.9099999999999999,0.2940141137671006
49,100% Corpus,3,0.9099999999999999,symmetric,0.3403778732785212
50,100% Corpus,3,symmetric,0.01,0.38051879348110373
51,100% Corpus,3,symmetric,0.31,0.37848834748285454
52,100% Corpus,3,symmetric,0.61,0.3806958501220263
53,100% Corpus,3,symmetric,0.9099999999999999,0.3827184347171174
54,100% Corpus,3,symmetric,symmetric,0.3771543396513667
55,100% Corpus,3,asymmetric,0.01,0.3824540039242633
56,100% Corpus,3,asymmetric,0.31,0.37187599968593765
57,100% Corpus,3,asymmetric,0.61,0.37337197149254847
58,100% Corpus,3,asymmetric,0.9099999999999999,0.3825021501289821
59,100% Corpus,3,asymmetric,symmetric,0.3629353765036978
60,100% Corpus,4,0.01,0.01,0.38382175491323806
61,100% Corpus,4,0.01,0.31,0.39147491128484735
62,100% Corpus,4,0.01,0.61,0.3777881103622999
63,100% Corpus,4,0.01,0.9099999999999999,0.3726045226383708
64,100% Corpus,4,0.01,symmetric,0.38526259605929825
65,100% Corpus,4,0.31,0.01,0.363417095363088
66,100% Corpus,4,0.31,0.31,0.38083098189611203
67,100% Corpus,4,0.31,0.61,0.38987656647712116
68,100% Corpus,4,0.31,0.9099999999999999,0.38892786916273214
69,100% Corpus,4,0.31,symmetric,0.36762830151565584
70,100% Corpus,4,0.61,0.01,0.3710796234167301
71,100% Corpus,4,0.61,0.31,0.3510950335118702
72,100% Corpus,4,0.61,0.61,0.35168103019881913
73,100% Corpus,4,0.61,0.9099999999999999,0.3481262826388215
74,100% Corpus,4,0.61,symmetric,0.36145524857057815
75,100% Corpus,4,0.9099999999999999,0.01,0.3513827490399858
76,100% Corpus,4,0.9099999999999999,0.31,0.3159899380376211
77,100% Corpus,4,0.9099999999999999,0.61,0.30338067725436046
78,100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2940141137671006
79,100% Corpus,4,0.9099999999999999,symmetric,0.3403778732785212
80,100% Corpus,4,symmetric,0.01,0.38051879348110373
81,100% Corpus,4,symmetric,0.31,0.37848834748285454
82,100% Corpus,4,symmetric,0.61,0.3806958501220263
83,100% Corpus,4,symmetric,0.9099999999999999,0.3827184347171174
84,100% Corpus,4,symmetric,symmetric,0.3771543396513667
85,100% Corpus,4,asymmetric,0.01,0.3824540039242633
86,100% Corpus,4,asymmetric,0.31,0.37187599968593765
87,100% Corpus,4,asymmetric,0.61,0.37337197149254847
88,100% Corpus,4,asymmetric,0.9099999999999999,0.3825021501289821
89,100% Corpus,4,asymmetric,symmetric,0.3629353765036978
