Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.3423037469015475
100% Corpus,2,0.01,0.31,0.39571013576414316
100% Corpus,2,0.01,0.61,0.40130233402064175
100% Corpus,2,0.01,0.9099999999999999,0.40738223221222897
100% Corpus,2,0.01,symmetric,0.39320045535520787
100% Corpus,2,0.31,0.01,0.3958927054100497
100% Corpus,2,0.31,0.31,0.4535851326069178
100% Corpus,2,0.31,0.61,0.4461945372430722
100% Corpus,2,0.31,0.9099999999999999,0.40305692703444906
100% Corpus,2,0.31,symmetric,0.3861397523964343
100% Corpus,2,0.61,0.01,0.3888980953999296
100% Corpus,2,0.61,0.31,0.3901758262918957
100% Corpus,2,0.61,0.61,0.4306817283992836
100% Corpus,2,0.61,0.9099999999999999,0.42798692774423264
100% Corpus,2,0.61,symmetric,0.3860860438489566
100% Corpus,2,0.9099999999999999,0.01,0.3813298657587033
100% Corpus,2,0.9099999999999999,0.31,0.4074591826320316
100% Corpus,2,0.9099999999999999,0.61,0.4051227802005052
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4068047232463311
100% Corpus,2,0.9099999999999999,symmetric,0.41247702960187677
100% Corpus,2,symmetric,0.01,0.3446004924986506
100% Corpus,2,symmetric,0.31,0.45920290392665414
100% Corpus,2,symmetric,0.61,0.4010221544663331
100% Corpus,2,symmetric,0.9099999999999999,0.38179230292271804
100% Corpus,2,symmetric,symmetric,0.37551529556249996
100% Corpus,2,asymmetric,0.01,0.3746319859626266
100% Corpus,2,asymmetric,0.31,0.4607395473732053
100% Corpus,2,asymmetric,0.61,0.42140478989399116
100% Corpus,2,asymmetric,0.9099999999999999,0.40762512290255043
100% Corpus,2,asymmetric,symmetric,0.4134719747581128
100% Corpus,3,0.01,0.01,0.3423037469015475
100% Corpus,3,0.01,0.31,0.3959262626528285
100% Corpus,3,0.01,0.61,0.3980357650863737
100% Corpus,3,0.01,0.9099999999999999,0.40738223221222897
100% Corpus,3,0.01,symmetric,0.3953681019651637
100% Corpus,3,0.31,0.01,0.3958927054100497
100% Corpus,3,0.31,0.31,0.4535851326069178
100% Corpus,3,0.31,0.61,0.4312280242284377
100% Corpus,3,0.31,0.9099999999999999,0.40345135481792277
100% Corpus,3,0.31,symmetric,0.3890787361783069
100% Corpus,3,0.61,0.01,0.37499774054394636
100% Corpus,3,0.61,0.31,0.3901758262918957
100% Corpus,3,0.61,0.61,0.43198386381792736
100% Corpus,3,0.61,0.9099999999999999,0.42798692774423264
100% Corpus,3,0.61,symmetric,0.3860860438489566
100% Corpus,3,0.9099999999999999,0.01,0.3813298657587033
100% Corpus,3,0.9099999999999999,0.31,0.41056775031103987
100% Corpus,3,0.9099999999999999,0.61,0.40155533847474123
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4199489859551021
100% Corpus,3,0.9099999999999999,symmetric,0.41247702960187677
100% Corpus,3,symmetric,0.01,0.3446004924986506
100% Corpus,3,symmetric,0.31,0.45920290392665414
100% Corpus,3,symmetric,0.61,0.4010221544663331
100% Corpus,3,symmetric,0.9099999999999999,0.3860147631866619
100% Corpus,3,symmetric,symmetric,0.37551529556249996
100% Corpus,3,asymmetric,0.01,0.3662826972918653
100% Corpus,3,asymmetric,0.31,0.4607395473732053
100% Corpus,3,asymmetric,0.61,0.42140478989399116
100% Corpus,3,asymmetric,0.9099999999999999,0.40762512290255043
100% Corpus,3,asymmetric,symmetric,0.4134719747581128
100% Corpus,4,0.01,0.01,0.3423037469015475
100% Corpus,4,0.01,0.31,0.40332618819978994
100% Corpus,4,0.01,0.61,0.3980357650863737
100% Corpus,4,0.01,0.9099999999999999,0.40738223221222897
100% Corpus,4,0.01,symmetric,0.3953681019651637
100% Corpus,4,0.31,0.01,0.3958927054100497
100% Corpus,4,0.31,0.31,0.4535851326069178
100% Corpus,4,0.31,0.61,0.4281723571718909
100% Corpus,4,0.31,0.9099999999999999,0.40345135481792277
100% Corpus,4,0.31,symmetric,0.3890787361783069
100% Corpus,4,0.61,0.01,0.3916810302655815
100% Corpus,4,0.61,0.31,0.3901758262918957
100% Corpus,4,0.61,0.61,0.4314957367540737
100% Corpus,4,0.61,0.9099999999999999,0.42798692774423264
100% Corpus,4,0.61,symmetric,0.3860860438489566
100% Corpus,4,0.9099999999999999,0.01,0.3813298657587033
100% Corpus,4,0.9099999999999999,0.31,0.4074591826320316
100% Corpus,4,0.9099999999999999,0.61,0.4018501330398836
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4199489859551021
100% Corpus,4,0.9099999999999999,symmetric,0.41247702960187677
100% Corpus,4,symmetric,0.01,0.3446004924986506
100% Corpus,4,symmetric,0.31,0.45920290392665414
100% Corpus,4,symmetric,0.61,0.4010221544663331
100% Corpus,4,symmetric,0.9099999999999999,0.3860147631866619
100% Corpus,4,symmetric,symmetric,0.37551529556249996
100% Corpus,4,asymmetric,0.01,0.3746319859626266
100% Corpus,4,asymmetric,0.31,0.4607395473732053
100% Corpus,4,asymmetric,0.61,0.42140478989399116
100% Corpus,4,asymmetric,0.9099999999999999,0.40762512290255043
100% Corpus,4,asymmetric,symmetric,0.4097044117891528
