,Validation_Set,Topics,Alpha,Beta,Coherence
0,100% Corpus,2,0.01,0.01,0.3423037469015475
1,100% Corpus,2,0.01,0.31,0.39571013576414316
2,100% Corpus,2,0.01,0.61,0.40130233402064175
3,100% Corpus,2,0.01,0.9099999999999999,0.40738223221222897
4,100% Corpus,2,0.01,symmetric,0.39320045535520787
5,100% Corpus,2,0.31,0.01,0.3958927054100497
6,100% Corpus,2,0.31,0.31,0.4535851326069178
7,100% Corpus,2,0.31,0.61,0.4461945372430722
8,100% Corpus,2,0.31,0.9099999999999999,0.40305692703444906
9,100% Corpus,2,0.31,symmetric,0.3861397523964343
10,100% Corpus,2,0.61,0.01,0.3888980953999296
11,100% Corpus,2,0.61,0.31,0.3901758262918957
12,100% Corpus,2,0.61,0.61,0.4306817283992836
13,100% Corpus,2,0.61,0.9099999999999999,0.42798692774423264
14,100% Corpus,2,0.61,symmetric,0.3860860438489566
15,100% Corpus,2,0.9099999999999999,0.01,0.3813298657587033
16,100% Corpus,2,0.9099999999999999,0.31,0.4074591826320316
17,100% Corpus,2,0.9099999999999999,0.61,0.4051227802005052
18,100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4068047232463311
19,100% Corpus,2,0.9099999999999999,symmetric,0.41247702960187677
20,100% Corpus,2,symmetric,0.01,0.3446004924986506
21,100% Corpus,2,symmetric,0.31,0.45920290392665414
22,100% Corpus,2,symmetric,0.61,0.4010221544663331
23,100% Corpus,2,symmetric,0.9099999999999999,0.38179230292271804
24,100% Corpus,2,symmetric,symmetric,0.37551529556249996
25,100% Corpus,2,asymmetric,0.01,0.3746319859626266
26,100% Corpus,2,asymmetric,0.31,0.4607395473732053
27,100% Corpus,2,asymmetric,0.61,0.42140478989399116
28,100% Corpus,2,asymmetric,0.9099999999999999,0.40762512290255043
29,100% Corpus,2,asymmetric,symmetric,0.4134719747581128
30,100% Corpus,3,0.01,0.01,0.3423037469015475
31,100% Corpus,3,0.01,0.31,0.3959262626528285
32,100% Corpus,3,0.01,0.61,0.3980357650863737
33,100% Corpus,3,0.01,0.9099999999999999,0.40738223221222897
34,100% Corpus,3,0.01,symmetric,0.3953681019651637
35,100% Corpus,3,0.31,0.01,0.3958927054100497
36,100% Corpus,3,0.31,0.31,0.4535851326069178
37,100% Corpus,3,0.31,0.61,0.4312280242284377
38,100% Corpus,3,0.31,0.9099999999999999,0.40345135481792277
39,100% Corpus,3,0.31,symmetric,0.3890787361783069
40,100% Corpus,3,0.61,0.01,0.37499774054394636
41,100% Corpus,3,0.61,0.31,0.3901758262918957
42,100% Corpus,3,0.61,0.61,0.43198386381792736
43,100% Corpus,3,0.61,0.9099999999999999,0.42798692774423264
44,100% Corpus,3,0.61,symmetric,0.3860860438489566
45,100% Corpus,3,0.9099999999999999,0.01,0.3813298657587033
46,100% Corpus,3,0.9099999999999999,0.31,0.41056775031103987
47,100% Corpus,3,0.9099999999999999,0.61,0.40155533847474123
48,100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4199489859551021
49,100% Corpus,3,0.9099999999999999,symmetric,0.41247702960187677
50,100% Corpus,3,symmetric,0.01,0.3446004924986506
51,100% Corpus,3,symmetric,0.31,0.45920290392665414
52,100% Corpus,3,symmetric,0.61,0.4010221544663331
53,100% Corpus,3,symmetric,0.9099999999999999,0.3860147631866619
54,100% Corpus,3,symmetric,symmetric,0.37551529556249996
55,100% Corpus,3,asymmetric,0.01,0.3662826972918653
56,100% Corpus,3,asymmetric,0.31,0.4607395473732053
57,100% Corpus,3,asymmetric,0.61,0.42140478989399116
58,100% Corpus,3,asymmetric,0.9099999999999999,0.40762512290255043
59,100% Corpus,3,asymmetric,symmetric,0.4134719747581128
60,100% Corpus,4,0.01,0.01,0.3423037469015475
61,100% Corpus,4,0.01,0.31,0.40332618819978994
62,100% Corpus,4,0.01,0.61,0.3980357650863737
63,100% Corpus,4,0.01,0.9099999999999999,0.40738223221222897
64,100% Corpus,4,0.01,symmetric,0.3953681019651637
65,100% Corpus,4,0.31,0.01,0.3958927054100497
66,100% Corpus,4,0.31,0.31,0.4535851326069178
67,100% Corpus,4,0.31,0.61,0.4281723571718909
68,100% Corpus,4,0.31,0.9099999999999999,0.40345135481792277
69,100% Corpus,4,0.31,symmetric,0.3890787361783069
70,100% Corpus,4,0.61,0.01,0.3916810302655815
71,100% Corpus,4,0.61,0.31,0.3901758262918957
72,100% Corpus,4,0.61,0.61,0.4314957367540737
73,100% Corpus,4,0.61,0.9099999999999999,0.42798692774423264
74,100% Corpus,4,0.61,symmetric,0.3860860438489566
75,100% Corpus,4,0.9099999999999999,0.01,0.3813298657587033
76,100% Corpus,4,0.9099999999999999,0.31,0.4074591826320316
77,100% Corpus,4,0.9099999999999999,0.61,0.4018501330398836
78,100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4199489859551021
79,100% Corpus,4,0.9099999999999999,symmetric,0.41247702960187677
80,100% Corpus,4,symmetric,0.01,0.3446004924986506
81,100% Corpus,4,symmetric,0.31,0.45920290392665414
82,100% Corpus,4,symmetric,0.61,0.4010221544663331
83,100% Corpus,4,symmetric,0.9099999999999999,0.3860147631866619
84,100% Corpus,4,symmetric,symmetric,0.37551529556249996
85,100% Corpus,4,asymmetric,0.01,0.3746319859626266
86,100% Corpus,4,asymmetric,0.31,0.4607395473732053
87,100% Corpus,4,asymmetric,0.61,0.42140478989399116
88,100% Corpus,4,asymmetric,0.9099999999999999,0.40762512290255043
89,100% Corpus,4,asymmetric,symmetric,0.4097044117891528
