Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.5046908869587579
100% Corpus,2,0.01,0.31,0.47055823259227647
100% Corpus,2,0.01,0.61,0.44493510332527375
100% Corpus,2,0.01,0.9099999999999999,0.42990279259630626
100% Corpus,2,0.01,symmetric,0.4686478452902816
100% Corpus,2,0.31,0.01,0.5636746882549577
100% Corpus,2,0.31,0.31,0.541573332788003
100% Corpus,2,0.31,0.61,0.5001035519460264
100% Corpus,2,0.31,0.9099999999999999,0.504626093394916
100% Corpus,2,0.31,symmetric,0.5726093108332013
100% Corpus,2,0.61,0.01,0.5600937656324858
100% Corpus,2,0.61,0.31,0.5347413395065086
100% Corpus,2,0.61,0.61,0.468072481475052
100% Corpus,2,0.61,0.9099999999999999,0.44532770686884965
100% Corpus,2,0.61,symmetric,0.5643492025046968
100% Corpus,2,0.9099999999999999,0.01,0.5774815410556864
100% Corpus,2,0.9099999999999999,0.31,0.5109664066041497
100% Corpus,2,0.9099999999999999,0.61,0.4589655296996396
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.47396061653685734
100% Corpus,2,0.9099999999999999,symmetric,0.5468421245854316
100% Corpus,2,symmetric,0.01,0.5367158086656041
100% Corpus,2,symmetric,0.31,0.46374423987016467
100% Corpus,2,symmetric,0.61,0.462349720476424
100% Corpus,2,symmetric,0.9099999999999999,0.44159782818500215
100% Corpus,2,symmetric,symmetric,0.4998001246409783
100% Corpus,2,asymmetric,0.01,0.523305366648222
100% Corpus,2,asymmetric,0.31,0.47502391302661684
100% Corpus,2,asymmetric,0.61,0.41866964869280465
100% Corpus,2,asymmetric,0.9099999999999999,0.4397434331419209
100% Corpus,2,asymmetric,symmetric,0.5075308633392384
100% Corpus,3,0.01,0.01,0.5044643877830975
100% Corpus,3,0.01,0.31,0.47055823259227647
100% Corpus,3,0.01,0.61,0.44493510332527375
100% Corpus,3,0.01,0.9099999999999999,0.42977335527586524
100% Corpus,3,0.01,symmetric,0.4686478452902816
100% Corpus,3,0.31,0.01,0.573751523124132
100% Corpus,3,0.31,0.31,0.541573332788003
100% Corpus,3,0.31,0.61,0.5001035519460264
100% Corpus,3,0.31,0.9099999999999999,0.504626093394916
100% Corpus,3,0.31,symmetric,0.5726093108332013
100% Corpus,3,0.61,0.01,0.5600937656324858
100% Corpus,3,0.61,0.31,0.5347413395065086
100% Corpus,3,0.61,0.61,0.468072481475052
100% Corpus,3,0.61,0.9099999999999999,0.44532770686884965
100% Corpus,3,0.61,symmetric,0.5643492025046968
100% Corpus,3,0.9099999999999999,0.01,0.5746557823478897
100% Corpus,3,0.9099999999999999,0.31,0.5109664066041497
100% Corpus,3,0.9099999999999999,0.61,0.4678054589038195
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.47396061653685734
100% Corpus,3,0.9099999999999999,symmetric,0.5393941085373907
100% Corpus,3,symmetric,0.01,0.5367158086656041
100% Corpus,3,symmetric,0.31,0.46374423987016467
100% Corpus,3,symmetric,0.61,0.462349720476424
100% Corpus,3,symmetric,0.9099999999999999,0.44159782818500215
100% Corpus,3,symmetric,symmetric,0.5084017716224412
100% Corpus,3,asymmetric,0.01,0.523305366648222
100% Corpus,3,asymmetric,0.31,0.47502391302661684
100% Corpus,3,asymmetric,0.61,0.41866964869280465
100% Corpus,3,asymmetric,0.9099999999999999,0.4397434331419209
100% Corpus,3,asymmetric,symmetric,0.5075308633392384
100% Corpus,4,0.01,0.01,0.5044643877830975
100% Corpus,4,0.01,0.31,0.4724518492682481
100% Corpus,4,0.01,0.61,0.44493510332527375
100% Corpus,4,0.01,0.9099999999999999,0.42913107646585874
100% Corpus,4,0.01,symmetric,0.4686478452902816
100% Corpus,4,0.31,0.01,0.573751523124132
100% Corpus,4,0.31,0.31,0.541573332788003
100% Corpus,4,0.31,0.61,0.5001035519460264
100% Corpus,4,0.31,0.9099999999999999,0.504626093394916
100% Corpus,4,0.31,symmetric,0.5726093108332013
100% Corpus,4,0.61,0.01,0.5576449388283324
100% Corpus,4,0.61,0.31,0.5347413395065086
100% Corpus,4,0.61,0.61,0.468072481475052
100% Corpus,4,0.61,0.9099999999999999,0.44532770686884965
100% Corpus,4,0.61,symmetric,0.5625079397586503
100% Corpus,4,0.9099999999999999,0.01,0.5746557823478897
100% Corpus,4,0.9099999999999999,0.31,0.5109664066041497
100% Corpus,4,0.9099999999999999,0.61,0.4678054589038195
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.47396061653685734
100% Corpus,4,0.9099999999999999,symmetric,0.5393941085373907
100% Corpus,4,symmetric,0.01,0.5423528971964183
100% Corpus,4,symmetric,0.31,0.4615890976987943
100% Corpus,4,symmetric,0.61,0.462349720476424
100% Corpus,4,symmetric,0.9099999999999999,0.4442146349683188
100% Corpus,4,symmetric,symmetric,0.5084017716224412
100% Corpus,4,asymmetric,0.01,0.523305366648222
100% Corpus,4,asymmetric,0.31,0.47502391302661684
100% Corpus,4,asymmetric,0.61,0.4304701345535629
100% Corpus,4,asymmetric,0.9099999999999999,0.4397434331419209
100% Corpus,4,asymmetric,symmetric,0.5075308633392384
