Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.5441528720107199
100% Corpus,2,0.01,0.31,0.5004288505981663
100% Corpus,2,0.01,0.61,0.4985914450571462
100% Corpus,2,0.01,0.9099999999999999,0.48547349169548004
100% Corpus,2,0.01,symmetric,0.5435693641145906
100% Corpus,2,0.31,0.01,0.5903157878633587
100% Corpus,2,0.31,0.31,0.548282195563113
100% Corpus,2,0.31,0.61,0.5302744198259702
100% Corpus,2,0.31,0.9099999999999999,0.5064950434244339
100% Corpus,2,0.31,symmetric,0.5677236178225872
100% Corpus,2,0.61,0.01,0.588239005782073
100% Corpus,2,0.61,0.31,0.5281599534728142
100% Corpus,2,0.61,0.61,0.5044619530572901
100% Corpus,2,0.61,0.9099999999999999,0.45045196786963115
100% Corpus,2,0.61,symmetric,0.5559286998851776
100% Corpus,2,0.9099999999999999,0.01,0.6004373786634309
100% Corpus,2,0.9099999999999999,0.31,0.5188983188306868
100% Corpus,2,0.9099999999999999,0.61,0.49740652331243423
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.5178968223293398
100% Corpus,2,0.9099999999999999,symmetric,0.5680698629481229
100% Corpus,2,symmetric,0.01,0.5657007643783567
100% Corpus,2,symmetric,0.31,0.5191898075693443
100% Corpus,2,symmetric,0.61,0.5189065767402927
100% Corpus,2,symmetric,0.9099999999999999,0.5025923442363391
100% Corpus,2,symmetric,symmetric,0.5499843462945068
100% Corpus,2,asymmetric,0.01,0.5322826413037721
100% Corpus,2,asymmetric,0.31,0.48007560493109364
100% Corpus,2,asymmetric,0.61,0.4705021839336892
100% Corpus,2,asymmetric,0.9099999999999999,0.4493352965936558
100% Corpus,2,asymmetric,symmetric,0.5385312358868327
100% Corpus,3,0.01,0.01,0.5441528720107199
100% Corpus,3,0.01,0.31,0.5004288505981663
100% Corpus,3,0.01,0.61,0.4985914450571462
100% Corpus,3,0.01,0.9099999999999999,0.48547349169548004
100% Corpus,3,0.01,symmetric,0.5435693641145906
100% Corpus,3,0.31,0.01,0.5903157878633587
100% Corpus,3,0.31,0.31,0.548282195563113
100% Corpus,3,0.31,0.61,0.5295065590455034
100% Corpus,3,0.31,0.9099999999999999,0.5064950434244339
100% Corpus,3,0.31,symmetric,0.5677236178225872
100% Corpus,3,0.61,0.01,0.588239005782073
100% Corpus,3,0.61,0.31,0.5281599534728142
100% Corpus,3,0.61,0.61,0.5044619530572901
100% Corpus,3,0.61,0.9099999999999999,0.45045196786963115
100% Corpus,3,0.61,symmetric,0.5559286998851776
100% Corpus,3,0.9099999999999999,0.01,0.6004373786634309
100% Corpus,3,0.9099999999999999,0.31,0.5188983188306868
100% Corpus,3,0.9099999999999999,0.61,0.49740652331243423
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.5178968223293398
100% Corpus,3,0.9099999999999999,symmetric,0.5680698629481229
100% Corpus,3,symmetric,0.01,0.5657007643783567
100% Corpus,3,symmetric,0.31,0.5191898075693443
100% Corpus,3,symmetric,0.61,0.5164130668119344
100% Corpus,3,symmetric,0.9099999999999999,0.5025923442363391
100% Corpus,3,symmetric,symmetric,0.5499843462945068
100% Corpus,3,asymmetric,0.01,0.5322826413037721
100% Corpus,3,asymmetric,0.31,0.48007560493109364
100% Corpus,3,asymmetric,0.61,0.47267928391458297
100% Corpus,3,asymmetric,0.9099999999999999,0.4493352965936558
100% Corpus,3,asymmetric,symmetric,0.5385312358868327
100% Corpus,4,0.01,0.01,0.5441528720107199
100% Corpus,4,0.01,0.31,0.5004288505981663
100% Corpus,4,0.01,0.61,0.4985914450571462
100% Corpus,4,0.01,0.9099999999999999,0.48547349169548004
100% Corpus,4,0.01,symmetric,0.5435693641145906
100% Corpus,4,0.31,0.01,0.5903157878633587
100% Corpus,4,0.31,0.31,0.548282195563113
100% Corpus,4,0.31,0.61,0.5302744198259702
100% Corpus,4,0.31,0.9099999999999999,0.5064950434244339
100% Corpus,4,0.31,symmetric,0.5677236178225872
100% Corpus,4,0.61,0.01,0.588239005782073
100% Corpus,4,0.61,0.31,0.5281599534728142
100% Corpus,4,0.61,0.61,0.5044619530572901
100% Corpus,4,0.61,0.9099999999999999,0.45045196786963115
100% Corpus,4,0.61,symmetric,0.5562314035620282
100% Corpus,4,0.9099999999999999,0.01,0.6004373786634309
100% Corpus,4,0.9099999999999999,0.31,0.5188983188306868
100% Corpus,4,0.9099999999999999,0.61,0.49740652331243423
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.5178968223293398
100% Corpus,4,0.9099999999999999,symmetric,0.5680698629481229
100% Corpus,4,symmetric,0.01,0.5657007643783567
100% Corpus,4,symmetric,0.31,0.5191898075693443
100% Corpus,4,symmetric,0.61,0.5189065767402927
100% Corpus,4,symmetric,0.9099999999999999,0.5025923442363391
100% Corpus,4,symmetric,symmetric,0.5499843462945068
100% Corpus,4,asymmetric,0.01,0.5322826413037721
100% Corpus,4,asymmetric,0.31,0.48007560493109364
100% Corpus,4,asymmetric,0.61,0.47267928391458297
100% Corpus,4,asymmetric,0.9099999999999999,0.4493352965936558
100% Corpus,4,asymmetric,symmetric,0.5385312358868327
