,Validation_Set,Topics,Alpha,Beta,Coherence
0,100% Corpus,2,0.01,0.01,0.5441528720107199
1,100% Corpus,2,0.01,0.31,0.5004288505981663
2,100% Corpus,2,0.01,0.61,0.4985914450571462
3,100% Corpus,2,0.01,0.9099999999999999,0.48547349169548004
4,100% Corpus,2,0.01,symmetric,0.5435693641145906
5,100% Corpus,2,0.31,0.01,0.5903157878633587
6,100% Corpus,2,0.31,0.31,0.548282195563113
7,100% Corpus,2,0.31,0.61,0.5302744198259702
8,100% Corpus,2,0.31,0.9099999999999999,0.5064950434244339
9,100% Corpus,2,0.31,symmetric,0.5677236178225872
10,100% Corpus,2,0.61,0.01,0.588239005782073
11,100% Corpus,2,0.61,0.31,0.5281599534728142
12,100% Corpus,2,0.61,0.61,0.5044619530572901
13,100% Corpus,2,0.61,0.9099999999999999,0.45045196786963115
14,100% Corpus,2,0.61,symmetric,0.5559286998851776
15,100% Corpus,2,0.9099999999999999,0.01,0.6004373786634309
16,100% Corpus,2,0.9099999999999999,0.31,0.5188983188306868
17,100% Corpus,2,0.9099999999999999,0.61,0.49740652331243423
18,100% Corpus,2,0.9099999999999999,0.9099999999999999,0.5178968223293398
19,100% Corpus,2,0.9099999999999999,symmetric,0.5680698629481229
20,100% Corpus,2,symmetric,0.01,0.5657007643783567
21,100% Corpus,2,symmetric,0.31,0.5191898075693443
22,100% Corpus,2,symmetric,0.61,0.5189065767402927
23,100% Corpus,2,symmetric,0.9099999999999999,0.5025923442363391
24,100% Corpus,2,symmetric,symmetric,0.5499843462945068
25,100% Corpus,2,asymmetric,0.01,0.5322826413037721
26,100% Corpus,2,asymmetric,0.31,0.48007560493109364
27,100% Corpus,2,asymmetric,0.61,0.4705021839336892
28,100% Corpus,2,asymmetric,0.9099999999999999,0.4493352965936558
29,100% Corpus,2,asymmetric,symmetric,0.5385312358868327
30,100% Corpus,3,0.01,0.01,0.5441528720107199
31,100% Corpus,3,0.01,0.31,0.5004288505981663
32,100% Corpus,3,0.01,0.61,0.4985914450571462
33,100% Corpus,3,0.01,0.9099999999999999,0.48547349169548004
34,100% Corpus,3,0.01,symmetric,0.5435693641145906
35,100% Corpus,3,0.31,0.01,0.5903157878633587
36,100% Corpus,3,0.31,0.31,0.548282195563113
37,100% Corpus,3,0.31,0.61,0.5295065590455034
38,100% Corpus,3,0.31,0.9099999999999999,0.5064950434244339
39,100% Corpus,3,0.31,symmetric,0.5677236178225872
40,100% Corpus,3,0.61,0.01,0.588239005782073
41,100% Corpus,3,0.61,0.31,0.5281599534728142
42,100% Corpus,3,0.61,0.61,0.5044619530572901
43,100% Corpus,3,0.61,0.9099999999999999,0.45045196786963115
44,100% Corpus,3,0.61,symmetric,0.5559286998851776
45,100% Corpus,3,0.9099999999999999,0.01,0.6004373786634309
46,100% Corpus,3,0.9099999999999999,0.31,0.5188983188306868
47,100% Corpus,3,0.9099999999999999,0.61,0.49740652331243423
48,100% Corpus,3,0.9099999999999999,0.9099999999999999,0.5178968223293398
49,100% Corpus,3,0.9099999999999999,symmetric,0.5680698629481229
50,100% Corpus,3,symmetric,0.01,0.5657007643783567
51,100% Corpus,3,symmetric,0.31,0.5191898075693443
52,100% Corpus,3,symmetric,0.61,0.5164130668119344
53,100% Corpus,3,symmetric,0.9099999999999999,0.5025923442363391
54,100% Corpus,3,symmetric,symmetric,0.5499843462945068
55,100% Corpus,3,asymmetric,0.01,0.5322826413037721
56,100% Corpus,3,asymmetric,0.31,0.48007560493109364
57,100% Corpus,3,asymmetric,0.61,0.47267928391458297
58,100% Corpus,3,asymmetric,0.9099999999999999,0.4493352965936558
59,100% Corpus,3,asymmetric,symmetric,0.5385312358868327
60,100% Corpus,4,0.01,0.01,0.5441528720107199
61,100% Corpus,4,0.01,0.31,0.5004288505981663
62,100% Corpus,4,0.01,0.61,0.4985914450571462
63,100% Corpus,4,0.01,0.9099999999999999,0.48547349169548004
64,100% Corpus,4,0.01,symmetric,0.5435693641145906
65,100% Corpus,4,0.31,0.01,0.5903157878633587
66,100% Corpus,4,0.31,0.31,0.548282195563113
67,100% Corpus,4,0.31,0.61,0.5302744198259702
68,100% Corpus,4,0.31,0.9099999999999999,0.5064950434244339
69,100% Corpus,4,0.31,symmetric,0.5677236178225872
70,100% Corpus,4,0.61,0.01,0.588239005782073
71,100% Corpus,4,0.61,0.31,0.5281599534728142
72,100% Corpus,4,0.61,0.61,0.5044619530572901
73,100% Corpus,4,0.61,0.9099999999999999,0.45045196786963115
74,100% Corpus,4,0.61,symmetric,0.5562314035620282
75,100% Corpus,4,0.9099999999999999,0.01,0.6004373786634309
76,100% Corpus,4,0.9099999999999999,0.31,0.5188983188306868
77,100% Corpus,4,0.9099999999999999,0.61,0.49740652331243423
78,100% Corpus,4,0.9099999999999999,0.9099999999999999,0.5178968223293398
79,100% Corpus,4,0.9099999999999999,symmetric,0.5680698629481229
80,100% Corpus,4,symmetric,0.01,0.5657007643783567
81,100% Corpus,4,symmetric,0.31,0.5191898075693443
82,100% Corpus,4,symmetric,0.61,0.5189065767402927
83,100% Corpus,4,symmetric,0.9099999999999999,0.5025923442363391
84,100% Corpus,4,symmetric,symmetric,0.5499843462945068
85,100% Corpus,4,asymmetric,0.01,0.5322826413037721
86,100% Corpus,4,asymmetric,0.31,0.48007560493109364
87,100% Corpus,4,asymmetric,0.61,0.47267928391458297
88,100% Corpus,4,asymmetric,0.9099999999999999,0.4493352965936558
89,100% Corpus,4,asymmetric,symmetric,0.5385312358868327
